,movieId,genreId
0,1,2
1,1,3
2,1,4
3,1,5
4,1,9
5,2,2
6,2,4
7,2,9
8,3,5
9,3,15
10,4,5
11,4,8
12,4,15
13,5,5
14,6,1
15,6,6
16,6,17
17,7,5
18,7,15
19,8,2
20,8,4
21,9,1
22,10,1
23,10,2
24,10,17
25,11,5
26,11,8
27,11,15
28,12,5
29,12,11
30,13,2
31,13,3
32,13,4
33,14,8
34,15,1
35,15,2
36,15,15
37,16,6
38,16,8
39,17,8
40,17,15
41,18,5
42,19,5
43,20,1
44,20,5
45,20,6
46,20,8
47,20,17
48,21,5
49,21,6
50,21,17
51,22,6
52,22,8
53,22,11
54,22,14
55,22,17
56,23,1
57,23,6
58,23,17
59,24,8
60,24,16
61,25,8
62,25,15
63,26,8
64,27,4
65,27,8
66,28,8
67,28,15
68,29,2
69,29,8
70,29,9
71,29,14
72,29,16
73,30,6
74,30,8
75,31,8
76,32,14
77,32,16
78,32,17
79,34,4
80,34,8
81,35,8
82,35,15
83,36,6
84,36,8
85,37,7
86,37,12
87,38,4
88,38,5
89,39,5
90,39,15
91,40,8
92,41,8
93,41,18
94,42,1
95,42,6
96,42,8
97,43,8
98,44,1
99,44,2
100,44,9
101,45,5
102,45,8
103,45,17
104,46,8
105,46,15
106,47,14
107,47,17
108,48,3
109,48,4
110,48,8
111,48,13
112,48,15
113,49,8
114,49,15
115,50,6
116,50,14
117,50,17
118,52,5
119,52,8
120,52,15
121,53,2
122,53,8
123,54,4
124,54,5
125,55,8
126,57,8
127,58,5
128,58,8
129,58,15
130,59,8
131,59,14
132,60,2
133,60,4
134,60,9
135,61,8
136,61,17
137,62,8
138,63,5
139,63,6
140,64,5
141,64,15
142,65,5
143,66,1
144,66,16
145,66,17
146,68,5
147,68,15
148,69,5
149,70,1
150,70,5
151,70,11
152,70,17
153,71,1
154,72,5
155,72,8
156,73,8
157,73,18
158,74,8
159,74,15
160,76,1
161,76,16
162,76,17
163,77,7
164,78,1
165,78,6
166,78,8
167,78,17
168,79,8
169,79,17
170,80,4
171,80,8
172,81,6
173,81,8
174,81,15
175,82,5
176,82,8
177,83,8
178,83,15
179,84,5
180,84,8
181,85,8
182,85,15
183,86,1
184,86,2
185,86,8
186,87,4
187,87,5
188,88,5
189,89,1
190,89,17
191,92,8
192,92,11
193,92,17
194,93,5
195,93,11
196,93,15
197,94,5
198,94,8
199,94,15
200,95,1
201,95,2
202,95,17
203,96,5
204,96,8
205,97,6
206,97,8
207,98,1
208,98,17
209,99,7
210,100,8
211,100,17
212,101,2
213,101,5
214,101,6
215,101,15
216,102,5
217,103,14
218,103,16
219,103,17
220,104,5
221,105,8
222,105,15
223,107,2
224,107,4
225,107,5
226,107,13
227,108,7
228,110,1
229,110,8
230,110,18
231,111,6
232,111,8
233,111,17
234,112,1
235,112,2
236,112,5
237,112,6
238,113,8
239,113,14
240,114,8
241,116,7
242,117,6
243,117,8
244,118,5
245,118,15
246,119,5
247,121,8
248,122,5
249,122,15
250,123,8
251,123,14
252,123,15
253,124,8
254,125,5
255,126,2
256,126,4
257,126,9
258,129,5
259,129,15
260,130,8
261,131,8
262,131,15
263,132,17
264,135,5
